Model_Name,Micro_F1_Score
dare_ties_1_087,0.7711
della_linear_1_08_08_08_01_01,0.7711
dare_ties_1_0846,0.7708
dare_ties_1_08_weight_0_9_lambda,0.7708
della_1_08_07_07_02_02,0.7708
dare_ties_1_0842,0.7705
dare_ties_1_0844,0.7705
dare_ties_1_0845,0.7705
acree_fusion,0.7704
dare_ties_1_086,0.77
dare_ties_1_085_weight,0.7699
dare_ties_1_0868,0.7698
della_linear_1_08_1_05_0_035,0.7697
nearswap_00001,0.7697
dare_ties_1_0862,0.7694
dare_ties_1_08_weight_1_08_density,0.7694
dare_ties_1_0865,0.7693
della_1_08_08_08_01_01,0.7693
dare_ties_density_06,0.7691
dare_ties_1_0855,0.7689
dare_ties_density_08,0.7689
della_linear_1_075_08_07_01_02,0.7689
dare_ties_standard,0.7688
dare_ties_1_0847,0.7685
dare_ties_1_083,0.7684
dare_ties_1_1_08_06,0.7683
della_1_08_08_07_01_02,0.7683
dare_ties_1_0843,0.7682
dare_ties_1_0848,0.768
dare_ties_1_08_weight,0.7678
della_1_08_07_08_02_01,0.7675
dare_ties_1_075_weight,0.7674
dare_ties_absa_higher_weight,0.7674
dare_ties_1_085_095_045_lambda_11,0.7673
dare_ties_1_06_weight,0.767
dare_ties_1_09_weight,0.7669
della_linear_1_08_1_06_0_03,0.7667
en_prompts,0.7667
slerp_t_04,0.7665
sce_1,0.7664
della_linear_1_09_1_06_0_03,0.7663
dare_ties_1_084,0.7662
dare_ties_1_08_weight_1_1_lambda,0.7662
en_prompts,0.7661
task_arithmetic_1_0845,0.7661
linear_90_10,0.766
dare_ties_1_04_weight,0.7659
della_1_08_05_05_04_04,0.7658
dare_linear_1_08_weight,0.7655
dare_ties_1_085_08_06_lambda_105,0.7655
task_arithmetic_1_08,0.7655
dare_ties_1_05_weight,0.7654
della_linear_1_08_08_08_0_0,0.7654
slerp_t_0444,0.7654
dare_linear_1_085_weight,0.7653
task_arithmetic_1_085,0.7653
dare_ties_low_german_density,0.7652
della_linear_1_08_08_07_01_02,0.7652
ties_1_0845,0.7652
task_arithmetic_1_075,0.7649
ties_standard,0.7647
dare_ties_1_07_weight,0.7646
della_linear_1_08_1_07_0_025,0.7646
dare_ties_05_05_1_1,0.7645
della_1_1_08_08_01_01,0.7643
dare_ties_lambda_0_8,0.7641
task_arithmetic_1_0775,0.7638
dare_linear_standard,0.7637
dare_ties_055_045_1_1,0.7637
dare_linear_1_0845,0.7635
dare_linear_standard_rescale,0.7632
dare_ties_06_04_09_03,0.7631
linear_1_0845,0.763
dare_ties_054_046_08_04,0.7628
dare_ties_1_09_08_06_lambda_11,0.7628
dare_ties_06_04_1_1,0.7627
dare_ties_weight_0703,0.7624
task_arithmetic_1_076,0.7623
task_arithmetic_lambda_1_weight_0703,0.7622
ger_prompts,0.7618
ger_prompts,0.7614
ger_prompts,0.7614
task_arithmetic_1_08_lambda_05,0.761
ger_prompts,0.7606
ger_prompts,0.7606
dare_ties_1_085_08_06_lambda_11,0.7605
della_linear_1_08_05_05_04_04,0.7603
dare_ties_1_085_09_05_lambda_11,0.7599
dare_ties_055_045_1_05,0.7598
task_arithmetic_lambda_1,0.7598
ger_prompts,0.7596
slerp_t_03,0.7593
della_linear_1_1_05_05_04_04,0.7585
dare_ties_1_085_08_06_lambda_115,0.7579
dare_ties_lambda_1_2,0.7575
ger_prompts,0.755
dare_ties_1_087_08_06_lambda_11,0.7543
della_linear_1_08_08_07_01_02_lambda_12,0.7532
karcher_default,0.7532
slerp_gradual_shift,0.7529
dare_ties_04_06_1_1,0.745
task_arithmetic_1_08_lambda_03,0.742
slerp_v_shape,0.7411
dare_ties_05_05_05_05,0.7294
ger_prompts,0.7265
slerp_balanced_blend,0.7251
passthrough_mostly_absa_absa_first,0.7247
dare_ties_lambda_1_5,0.6922
della_linear_1_08_08_07_01_02_lambda_15,0.6829
passthrough_middle_absa_first,0.4699
nearswap_0001,0.058
linear_layer_specific,0
passthrough_middle_ger_first,0
passthrough_mostly_absa_ger_first,0
